id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
140,139,Cerro Frias,Cerro Frías,/Attraction_Review-g312851-d1547492-Reviews-Cerro_Frias-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,567,"4WD, ATV & Off-Road Tours â€¢ Zipline & Aerial Adventure Parks",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3541667,-72.6366667,0
141,140,Ves,Ves,/Attraction_Review-g312851-d10131882-Reviews-Ves-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,478,Taxis & Shuttles,Prestadores turísticos,Transporte,Lago Argentino,El Calafate,1.0,1.0,-50.2840716,-72.0543919,1
142,141,Blue Calafate,Blue Calafate,/Attraction_Review-g312851-d14098526-Reviews-Blue_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,52,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.336746,-72.265167,0
143,142,El Calafate Tours by Say Hueque,Say Hueque Tours,/Attraction_Review-g312851-d16844454-Reviews-El_Calafate_Tours_by_Say_Hueque-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,164,Multi-day Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.338548,-72.2683725,1
144,143,Patagonia Hikes,Patagonia Hikes,/Attraction_Review-g316035-d552856-Reviews-Patagonia_Hikes-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,191,Hiking Trails â€¢ Day Trips,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Chaltén,1.0,1.0,-49.3314941,-72.886325,1
145,144,Mundo Austral,Mundo Austral,/Attraction_Review-g312851-d11726415-Reviews-Mundo_Austral-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,145,"4WD, ATV & Off-Road Tours â€¢ Boat Tours",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3378506,-72.2646235,1
146,145,Walk Patagonia,Walk Patagonia,/Attraction_Review-g316035-d2414673-Reviews-Walk_Patagonia-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,120,Walking Tours â€¢ Eco Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Chaltén,1.0,1.0,-49.3314591,-72.8880738,1
147,146,Glaciar Sur,Glaciar Sur,/Attraction_Review-g312851-d7592289-Reviews-Glaciar_Sur-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,85,Nature & Wildlife Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3380027,-72.2659449,1
148,147,Todo Glaciares Tour,Todo Glaciares Tour,/Attraction_Review-g312851-d1988819-Reviews-Todo_Glaciares_Tour-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,459,Sightseeing Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.337969,-72.2647982,1
149,148,Tangol El Calafate,Tangol El Calafate,/Attraction_Review-g312851-d20895961-Reviews-Tangol_El_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,187,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.337969,-72.2647982,1
150,149,Calafate Extremo,Calafate Extremo,/Attraction_Review-g312851-d1967568-Reviews-Calafate_Extremo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,173,"4WD, ATV & Off-Road Tours",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3383394,-72.2663547,1
