id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
200,199,Explora Calafate,Explora Calafate,/Attraction_Review-g312851-d13962106-Reviews-Explora_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,8,Boat Tours â€¢ Climbing Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
201,200,Wikibus,Wikibus,/Attraction_Review-g312851-d11747602-Reviews-Wikibus-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,13,Bus Services,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
202,201,Prestigio Operadores ,Prestigio Operadores Receptivos,/Attraction_Review-g312851-d17338438-Reviews-Prestigio_Operadores_Receptivos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,8,Boat Tours â€¢ Eco Tours,Prestadores turísticos,Receptivos,,,,,-50.3386205,-72.2594157,1
203,202,Transfer Turismo Andrada,Transfer Turismo Andrada,/Attraction_Review-g312851-d12133590-Reviews-Transfer_Turismo_Andrada-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,8,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.343086,-72.288864,0
204,203,Excursiones Pinocho,Excursiones Pinocho,/Attraction_Review-g1857763-d3936870-Reviews-Excursiones_Pinocho-Puerto_San_Julian_Province_of_Santa_Cruz_Patagonia.html,4.5,13,Sightseeing Tours,Prestadores turísticos,Receptivos,,,,,-49.3139766,-67.7143142,1
205,204,Zoyen Turismo,Zoyen Turismo,/Attraction_Review-g1949199-d12234202-Reviews-Zoyen_Turismo-Perito_Moreno_Province_of_Santa_Cruz_Patagonia.html,4.0,25,Sightseeing Tours â€¢ Private Tours,Prestadores turísticos,Receptivos,,,,,-46.582924,-70.9274074,1
206,205,Mirador de las Aguilas,Mirador de las Águilas,/Attraction_Review-g316035-d20360465-Reviews-Mirador_de_las_Aguilas-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,6,Lookouts,Áreas naturales,Miradores,,,,,-49.3486902,-72.8715114,1
207,206,Gigantes Patagones,Gigantes Patagones,/Attraction_Review-g312851-d16942582-Reviews-Gigantes_Patagones-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,7,Food Tours â€¢ Day Trips,Prestadores turísticos,Receptivos,,,,,-50.3387133,-72.2685377,1
208,207,Calafate Walking Tour,Calafate Walking Tour,/Attraction_Review-g312851-d20097738-Reviews-Calafate_Walking_Tour-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,5,Walking Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
209,208,Uco Wine Shop,Uco Wine Shop,/Attraction_Review-g312851-d13566822-Reviews-Uco_Wine_Shop-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,6,Wine Bars,Prestadores turísticos,Comercio y gastronomía,,,,,-50.335163,-72.255127,0
210,209,Southern Patagonia Tours,Southern Patagonia Tours,/Attraction_Review-g312852-d20166772-Reviews-Southern_Patagonia_Tours-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,5.0,4,Walking Tours â€¢ Private Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
211,210,Calafate Kayaks,Calafate Kayaks,/Attraction_Review-g312851-d20256748-Reviews-Calafate_Kayaks-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,4,Kayaking & Canoeing,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
212,211,Southwind Experience,Southwind Experience,/Attraction_Review-g312851-d15220491-Reviews-Southwind_Experience-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,5,Taxis & Shuttles â€¢ Hiking & Camping Tours,Prestadores turísticos,Transporte,,,,,-50.3390685,-72.2703256,1
213,212,Chacra Las Moras,Chacra Las Moras,/Attraction_Review-g312851-d15365013-Reviews-Chacra_Las_Moras-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,5,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.331203,-72.261475,0
214,213,Argentina Travel Online,Argentina Travel Online,/Attraction_Review-g312851-d17749879-Reviews-Argentina_Travel_Online-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,8,Multi-day Tours â€¢ River Rafting & Tubing,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
215,214,Aeroclub Rio Gallegos,Aeroclub Río Gallegos,/Attraction_Review-g312852-d12473883-Reviews-Aeroclub_Rio_Gallegos-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,5.0,6,Air Tours,Prestadores turísticos,Entretenimiento,,,,,-51.6679863,-69.2614829,1
216,215,Receptivo Chalten,Receptivo Chaltén,/Attraction_Review-g316035-d19096322-Reviews-Receptivo_Chalten-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,4,"Multi-day Tours â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Receptivos,,,,,-49.3300879,-72.8863679,1
217,142,Howlanders - El Calafate tours-,Say Hueque Tours,/Attraction_Review-g312851-d23744660-Reviews-Howlanders_El_Calafate_tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,7,Adrenaline & Extreme Tours â€¢ Boat Tours,Prestadores turísticos,Receptivos,,,,,-50.338548,-72.2683725,1
218,130,Mil Outdoor SA,Mil Outdoor,/Attraction_Review-g312851-d13543111-Reviews-Mil_Outdoor_SA-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,16,"River Rafting & Tubing â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.3381716,-72.2635488,1
219,216,Zona Austral Turismo,Zona Austral Turismo,/Attraction_Review-g316035-d13094656-Reviews-Zona_Austral_Turismo-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.0,13,Sightseeing Tours â€¢ Day Trips,Prestadores turísticos,Receptivos,,,,,-49.332735,-72.8847076,1
220,217,Exploradores Lago Del Desierto,Exploradores Lago Del Desierto,/Attraction_Review-g316035-d15855469-Reviews-Exploradores_Lago_Del_Desierto-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,3.5,27,Eco Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-49.3315375,-72.8861315,1
221,218,The Gramophone Bar,The Gramophone Bar,/Attraction_Review-g2468334-d10546436-Reviews-The_Gramophone_Bar-Puerto_Santa_Cruz_Province_of_Santa_Cruz_Patagonia.html,4.5,6,Bars & Clubs,Prestadores turísticos,Comercio y gastronomía,,,,,-50.0247276,-68.5243815,1
222,219,Upsala Expediciones,Upsala Expediciones,/Attraction_Review-g312851-d13152551-Reviews-Upsala_Expediciones-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,4,Boat Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.3406635,-72.2521219,1
223,220,Polar Bar,Polar Bar,/Attraction_Review-g312851-d16337528-Reviews-Polar_Bar-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,9,Bars & Clubs,Prestadores turísticos,Comercio y gastronomía,,,,,-50.339981,-72.253036,0
224,221,Patagonia Magica,Patagonia Mágica,/Attraction_Review-g316035-d7220663-Reviews-Patagonia_Magica-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,6,Other Outdoor Activities,Prestadores turísticos,Receptivos,,,,,-49.3314941,-72.886325,1
225,222,Tiempo Libre,Tiempo Libre,/Attraction_Review-g312851-d20377678-Reviews-Tiempo_Libre-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,3,City Tours â€¢ Eco Tours,Prestadores turísticos,Receptivos,,,,,-50.3373222,-72.2680084,1
226,223,Zoyen Turismo,Zoyen Turismo,/Attraction_Review-g1673177-d15805446-Reviews-Zoyen_Turismo-Los_Antiguos_Province_of_Santa_Cruz_Patagonia.html,4.5,4,Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-46.5514642,-71.6295709,1
227,224,Punta Walichu,Punta Walichu,/Attraction_Review-g312851-d21104448-Reviews-Punta_Walichu-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,3,Speciality Museums,Sitios históricos y arqueológicos,Sitios históricos,,,,,-50.2945625,-72.2023125,1
228,225,Mirante Maestri,Mirante Maestri,/Attraction_Review-g316035-d20381056-Reviews-Mirante_Maestri-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,2,Hiking Trails,Áreas naturales,Senderos,,,,,-49.3166769,-73.005203,1
229,226,Tribus Del Sur,Tribus Del Sur,/Attraction_Review-g312851-d11710143-Reviews-Tribus_Del_Sur-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,4,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.338089,-72.266296,0
230,227,Terminal De Ã“mnibus,Terminal de ómnibus,/Attraction_Review-g316035-d23600390-Reviews-Terminal_De_Omnibus-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,2,Points of Interest & Landmarks,Prestadores turísticos,Transporte,,,,,-49.330379,-72.885887,0
231,228,Transporte Las Lengas,Transporte Las Lengas,/Attraction_Review-g316035-d17442206-Reviews-Transporte_Las_Lengas-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,3,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-49.3322303,-72.8829881,1
232,229,Espejismo Sur,Espejismo Sur,/Attraction_Review-g312851-d9835232-Reviews-Espejismo_Sur-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,3,City Tours â€¢ Boat Tours,Prestadores turísticos,Receptivos,,,,,-50.3362277,-72.2648529,1
233,230,Telares Andinos,Telares Andinos,/Attraction_Review-g312851-d3734091-Reviews-Telares_Andinos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.5,9,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.339088,-72.27758,0
234,231,Argentina Discovery,Argentina Discovery,/Attraction_Review-g316035-d18930498-Reviews-Argentina_Discovery-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,2,Multi-day Tours â€¢ Adrenaline & Extreme Tours,Prestadores turísticos,Receptivos,,,,,-49.3314941,-72.886325,1
235,232,El ChaltÃ©n Transfers,El Chaltén Transfers,/Attraction_Review-g312851-d23841403-Reviews-El_Chalten_Transfers-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,1,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-49.3314941,-72.886325,1
236,233,Superlimp Calafate,Superlimp Calafate,/Attraction_Review-g312851-d23701552-Reviews-Superlimp_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.3381367,-72.2737873,1
237,234,NAKEL Viajes EVT - Tours,NAKEL Viajes ,/Attraction_Review-g312851-d5978683-Reviews-NAKEL_Viajes_EVT_Tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,2,Private Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
238,235,Los Glaciares,Parque Nacional Los glaciares,/Attraction_Review-g312851-d23163094-Reviews-Los_Glaciares-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,1,National Parks â€¢ Nature & Wildlife Areas,Áreas naturales,Parque / Reserva natural,,,,,-50.340752,-72.276817,0
239,191,Fitz Roy Expediciones S.A,Fitz Roy Expediciones,/Attraction_Review-g316035-d20142326-Reviews-Fitz_Roy_Expediciones_S_A-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,1,Taxis & Shuttles â€¢ Walking Tours,Prestadores turísticos,Transporte,repetido,,,,-49.3304491,-72.8861306,1
240,236,Movete TPA Traslados en El Calafate y El ChaltÃ©n,Movete TPA ,/Attraction_Review-g312851-d19545189-Reviews-Movete_TPA_Traslados_en_El_Calafate_y_El_Chalten-El_Calafate_Province_of_Santa_C.html,5.0,1,Taxis & Shuttles â€¢ Self-Guided Tours & Rentals,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
241,237,Ebbikes,EVOBIKES,/Attraction_Review-g312851-d17766675-Reviews-Ebbikes-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,1,Gear Rentals,Prestadores turísticos,Transporte,,,,,-50.334724,-72.31649,0
242,238,Always Glaciers,Always Glaciers,/Attraction_Review-g312851-d20343645-Reviews-Always_Glaciers-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.5,3,Hiking & Camping Tours â€¢ Bus Tours,Prestadores turísticos,Receptivos,,,,,-50.3379027,-72.261962,1
243,239,Traslados Calafate,Traslados Calafate,/Attraction_Review-g312851-d17545423-Reviews-Traslados_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.5,3,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.3407824,-72.2792311,1
244,240,Museo FacÃ³n Grande,Museo Facón Grande,/Attraction_Review-g23902725-d23900802-Reviews-Museo_Facon_Grande-Jaramillo_Province_of_Santa_Cruz_Patagonia.html,4.0,1,History Museums,Museos,Museos,,,,,-47.1848568,-67.1425766,1
245,241,Otra Mirada Daniel Tonina FotografÃ­a,Otra Mirada,/Attraction_Review-g312851-d11848143-Reviews-Otra_Mirada_Daniel_Tonina_Fotografia-El_Calafate_Province_of_Santa_Cruz_Patagoni.html,5.0,1,Photography Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
246,242,Tangol,Tangol,/Attraction_Review-g312851-d15589132-Reviews-Tangol-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,1,River Rafting & Tubing â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
247,243,Guanaco Travel,Guanaco Travel,/Attraction_Review-g316035-d10786836-Reviews-Guanaco_Travel-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,3.5,3,Taxis & Shuttles â€¢ Eco Tours,Prestadores turísticos,Transporte,,,,,-49.3299828,-72.8862997,1
248,244,Chalten Travel Turismo,Chalten Travel Turismo,/Attraction_Review-g312851-d14957815-Reviews-Chalten_Travel_Turismo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.0,20,Boat Tours â€¢ Sightseeing Tours,Prestadores turísticos,Receptivos,,,,,-50.3379694,-72.2657329,1
249,245,Cine Rio Gallegos,Cine Río Gallegos,/Attraction_Review-g312852-d8685855-Reviews-Cine_Rio_Gallegos-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,3.0,24,Movie Theaters,Prestadores turísticos,Entretenimiento,,,,,-51.620106,-69.2187885,1
250,246,Primera Vivienda de El Calafate,Primera Vivienda de El Calafate,/Attraction_Review-g312851-d20325981-Reviews-Primera_Vivienda_de_El_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.0,1,Points of Interest & Landmarks,Sitios históricos y arqueológicos,Sitios históricos,,,,,-50.337868,-72.261337,0
251,247,Cueva de Los Leones,Cueva de Los Leones,/Attraction_Review-g887127-d20205993-Reviews-Cueva_de_Los_Leones-Puerto_Deseado_Province_of_Santa_Cruz_Patagonia.html,3.0,1,Nature & Wildlife Areas â€¢ Caverns & Caves,Áreas naturales,"Grutas, cuevas y playas",,,,,-47.7504784,-65.8615119,1
252,248,Bex Be Explorer Tours,Bex Be Explorer Tours,/Attraction_Review-g312851-d2569748-Reviews-Bex_Be_Explorer_Tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,2.5,2,Sightseeing Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
253,249,Tagle Servicios TurÃ­sticos,Tagle,/Attraction_Review-g312851-d12930575-Reviews-Tagle_Servicios_Turisticos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,3.0,2,City Tours â€¢ Cultural Tours,Prestadores turísticos,Receptivos,,,,,-50.3377587,-72.263316,1
254,250,Estancia 25 de Mayo,Estancia 25 de Mayo,/Attraction_Review-g312851-d20886500-Reviews-Estancia_25_de_Mayo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,2.0,1,Nature & Wildlife Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
255,142,El Chalten Tours by Say Hueque,Say Hueque Tours,/Attraction_Review-g316035-d16844462-Reviews-El_Chalten_Tours_by_Say_Hueque-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,2.0,3,Multi-day Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.337643,-72.266739,1
256,251,Andesmar,Andesmar,/Attraction_Review-g312851-d20075223-Reviews-Andesmar-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,1.5,2,Bus Services,Prestadores turísticos,Transporte,,,,,-50.3410761,-72.2544179,1
257,252,La Cocina De Mabel,La Cocina De Mabel,/Attraction_Review-g312852-d14946389-Reviews-La_Cocina_De_Mabel-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,3.0,7,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-51.6219279,-69.213449,1
258,253,Terminal de Omnibus Manuel Alvarez,Terminal de Omnibus Manuel Alvarez,/Attraction_Review-g312852-d10393524-Reviews-Terminal_de_Omnibus_Manuel_Alvarez-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,2.0,10,Bus Services,Prestadores turísticos,Transporte,,,,,-51.626518,-69.248779,0
259,254,Marga Taqsa,Marga Taqsa,/Attraction_Review-g312852-d15195786-Reviews-Marga_Taqsa-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,2.0,22,Bus Services,Prestadores turísticos,Transporte,,,,,-51.6286659,-69.2539215,1
260,255,Canadon de los Muertos,Cañadón de los Muertos,/Attraction_Review-g1203116-d10341134-Reviews-Canadon_de_los_Muertos-Gobernador_Gregores_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Points of Interest & Landmarks â€¢ Historic Walking Areas,Sitios históricos y arqueológicos,Sitios históricos,,,,,-48.7509053,-70.2485017,1
261,256,Rio Chico,Río Chico,/Attraction_Review-g1203116-d10341175-Reviews-Rio_Chico-Gobernador_Gregores_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Bodies of Water,Áreas naturales,"Lagos, lagunas y ríos",,,,,-49.8029621,-68.6246573,1
262,257,Becky's Bar,Becky's Bar,/Attraction_Review-g2468334-d11747365-Reviews-Becky_s_Bar-Puerto_Santa_Cruz_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Bars & Clubs,Prestadores turísticos,Comercio y gastronomía,,,,,-50.0247276,-68.5243815,1
263,258,Alferez D Walter Omar Donna Plaque,Placa de Alferez Walter Omar D'Anna,/Attraction_Review-g312852-d10246391-Reviews-Alferez_D_Walter_Omar_Donna_Plaque-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Points of Interest & Landmarks,Sitios históricos y arqueológicos,Monumentos y estatuas,,,,,-51.6230485,-69.2168291,1
264,259,Museo Regional Provincial,Museo Regional Provincial Padre Jesús Molina,/Attraction_Review-g312852-d10239024-Reviews-Museo_Regional_Provincial-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Natural History Museums â€¢ Science Museums,Museos,Museos,,,,,-51.6266936,-69.2202126,1
265,260,Museo MarÃ­timo y Naval de la Patagonia Austral,Museo Naval,/Attraction_Review-g312852-d10239034-Reviews-Museo_Maritimo_y_Naval_de_la_Patagonia_Austral-Rio_Gallegos_Province_of_Santa_Cr.html,0.0,0,Speciality Museums â€¢ History Museums,Museos,Museos,,,,,-51.6236452,-69.2082589,1
266,261,Patagonian Wind Bike,Patagonian Wind Bike,/Attraction_Review-g312851-d12542648-Reviews-Patagonian_Wind_Bike-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Gear Rentals,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
267,262,Neyem,Neyem,/Attraction_Review-g312852-d13073571-Reviews-Neyem-Rio_Gallegos_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Cultural Tours,Prestadores turísticos,Receptivos,,,,,-51.6230485,-69.2168291,1
268,263,Signature Tours,Signature Tours,/Attraction_Review-g312851-d15887632-Reviews-Signature_Tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Walking Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
269,264,Estancia La Estela,Estancia La Estela,/Attraction_Review-g312850-d15710453-Reviews-Estancia_La_Estela-Province_of_Santa_Cruz_Patagonia.html,0.0,0,River Rafting & Tubing â€¢ Horseback Riding Tours,Prestadores turísticos,Receptivos,,,,,-49.81042,-72.05449,1
270,265,Morresi Viajes,Morresi Viajes,/Attraction_Review-g312851-d15805351-Reviews-Morresi_Viajes-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,"City Tours â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Receptivos,,,,,-50.338548,-72.2683725,1
271,242,Tangol El Calafate,Tangol El Calafate,/Attraction_Review-g312851-d15760175-Reviews-Tangol_El_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
272,266,Sirio Artesanias,Sirio Artesanias,/Attraction_Review-g316035-d15553488-Reviews-Sirio_Artesanias-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-49.3337265,-72.8896258,1
273,267,Traslados en Taxi Calafate,Traslados en Taxi Calafate,/Attraction_Review-g312851-d17821225-Reviews-Traslados_en_Taxi_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
274,268,Relish Patagonia,Relish Patagonia,/Attraction_Review-g312851-d14987525-Reviews-Relish_Patagonia-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.3360421,-72.250144,1
275,269,Arte Aplicado,Arte Aplicado,/Attraction_Review-g312851-d21356112-Reviews-Arte_Aplicado-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Art Galleries,Prestadores turísticos,Comercio y gastronomía,,,,,-50.3380949,-72.2631148,1
276,270,Eureka Travel,Eureka Travel,/Attraction_Review-g312851-d20358797-Reviews-Eureka_Travel-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
277,271,GPS Travel,GPS Travel,/Attraction_Review-g312851-d20778316-Reviews-GPS_Travel-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Taxis & Shuttles â€¢ Hiking & Camping Tours,Prestadores turísticos,Transporte,,,,,-50.3405611,-72.2523949,1
278,272,Luna Roja El Calafate,Luna Roja El Calafate,/Attraction_Review-g312851-d20920430-Reviews-Luna_Roja_El_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
279,273,ZetatreK,ZetatreK,/Attraction_Review-g312851-d21210743-Reviews-ZetatreK-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Walking Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
280,274,Patagonia Photo Tour,Patagonia Photo Tour,/Attraction_Review-g312851-d21168461-Reviews-Patagonia_Photo_Tour-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Photography Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
281,263,Signature Tours,Signature Tours,/Attraction_Review-g312851-d21049294-Reviews-Signature_Tours-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Day Trips,Prestadores turísticos,Receptivos,repetido268,,,,-50.337969,-72.2647982,1
282,275,Limite Patagonia,Limite Patagonia,/Attraction_Review-g312851-d23109899-Reviews-Limite_Patagonia-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Private Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
283,276,Almacen Cervecero Los Antiguos,Almacen Cervecero Los Antiguos,/Attraction_Review-g1673177-d21384021-Reviews-Almacen_Cervecero_Los_Antiguos-Los_Antiguos_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Breweries,Prestadores turísticos,Comercio y gastronomía,,,,,-46.5515427,-71.6311333,1
284,277,All Territories Adventure Travel,All Territories Adventure Travel,/Attraction_Review-g312851-d23162582-Reviews-All_Territories_Adventure_Travel-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Private Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
285,278,AMANCAY,Amancay,/Attraction_Review-g316035-d20106401-Reviews-AMANCAY-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Taxis & Shuttles â€¢ Walking Tours,Prestadores turísticos,Transporte,,,,,-49.3314941,-72.886325,1
286,279,Cerro Cristal,Cerro Cristal,/Attraction_Review-g312851-d20150106-Reviews-Cerro_Cristal-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Mountains,Áreas naturales,Cerros,,,,,-50.5672222,-72.7808333,1
287,280,Calafate Travel,Calafate Travel,/Attraction_Review-g316035-d20050872-Reviews-Calafate_Travel-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,0.0,0,River Rafting & Tubing â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-50.3481919,-72.2818847,1
288,281,SUR FLY FISHING,Sur Fly Fishing,/Attraction_Review-g312851-d19501576-Reviews-SUR_FLY_FISHING-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,"Multi-day Tours â€¢ 4WD, ATV & Off-Road Tours",Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
289,282,OneSeed Expeditions - Argentina,OneSeed Expeditions,/Attraction_Review-g312851-d19512741-Reviews-OneSeed_Expeditions_Argentina-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Hiking & Camping Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
290,283,Patagonia a caballo,Patagonia a caballo,/Attraction_Review-g312851-d19601236-Reviews-Patagonia_a_caballo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
291,284,Receptivo Chalten - Calafate Office,Receptivo Chalten,/Attraction_Review-g312851-d19870227-Reviews-Receptivo_Chalten_Calafate_Office-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Multi-day Tours â€¢ Taxis & Shuttles,Prestadores turísticos,Receptivos,,,,,-49.3314941,-72.886325,1
292,285,Estetica EL Calafate,Estetica El Calafate,/Attraction_Review-g312851-d19805068-Reviews-Estetica_EL_Calafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,0.0,0,Spas,Prestadores turísticos,Bienestar,,,,,-50.3397677,-72.2783034,1
